status;date;product name;size/volume;price;price per 1;shop;discount
;16.08.2025;Denner Drangensaft 1.51 Pel;N/A;1.95;1.95;denner;
!;16.08.2025;Denner Kaisergemuse  N |;750g;NaN;NaN;denner;
;16.08.2025;D-Vollmilch Past IL -;N/A;2.80;2.80;denner;
;16.08.2025;D-Müesli Traube-Nuss Ikg;N/A;2.55;2.55;denner;
;16.08.2025;D-Tomme suisse Rund;100g;1.95;1.95;denner;
;16.08.2025;Butte mit IPS Weizenmehl;53g;0.40;0.80;denner;50%
;16.08.2025;Croissant;70g;0.40;0.85;denner;53%
;16.08.2025;D-Joghurt Wanille;200g;1.40;1.40;denner;
;16.08.2025;D-Joghurt Heidelbeer 200g;2 pcs;1.40;0.70;denner;
;16.08.2025;Denner: Gouda in Scheibe;250g;2.30;2.30;denner;
;16.08.2025;D-Nusskernmischung unge;200g;3.00;3.00;denner;
;16.08.2025;D-Schokolade Nuss 100g;2 pcs;1.20;0.60;denner;
