status;date;order number;product name;size/volume;price;price per 1;shop;discount
!;N/A;1;Denner Kaisergemüse  3,45;0,750;NaN;NaN;denner;
!;N/A;2;Denner Norweg Portionen  5,9;0,250;NaN;NaN;denner;
!;N/A;3;D-Vollmilch Past IL 1.40;NaN;NaN;NaN;denner;
!;N/A;4;Denner Gouda in Scheibe  2.30;0,250;NaN;NaN;denner;
!;N/A;5;D-Joghurt Vanilie;0,290;NaN;NaN;denner;
!;N/A;1;Denner Kaisergemüse  3,45;0,750;NaN;NaN;denner;
!;N/A;2;Denner Norweg Portionen  5,9;0,250;NaN;NaN;denner;
!;N/A;3;D-Vollmilch Past IL 1.40;NaN;NaN;NaN;denner;
!;N/A;4;Denner Gouda in Scheibe  2.30;0,250;NaN;NaN;denner;
!;N/A;5;D-Joghurt Vanilie;0,290;NaN;NaN;denner;
!;N/A;1;Denner Drangensaft 1.51 Pel 1.95;NaN;NaN;NaN;denner;
!;N/A;2;Denner Kaisergemüse;0,750;NaN;NaN;denner;
!;N/A;3;D-Vollmilch Past;1,000;NaN;NaN;denner;
!;N/A;4;D-Müesli Traube-Nuss Ikg 2.55;NaN;NaN;NaN;denner;
!;N/A;5;D-Tomme suisse Rund  1.95;0,100;NaN;NaN;denner;
!;N/A;6;Butte mit IPS Weizenmehl  0.80;0,053;NaN;NaN;denner;
!;N/A;7;Croissant  0.85;0,070;NaN;NaN;denner;
!;N/A;8;D-Joghurt Vanilie;0,200;NaN;NaN;denner;
!;N/A;9;D-Joghurt Heidelbeer;0,200;NaN;NaN;denner;
!;N/A;10;Denner: Gouda in Scheibe  2,30;0,250;NaN;NaN;denner;
!;N/A;11;D-Nusskernmischung unge  3,00;0,200;NaN;NaN;denner;
!;N/A;12;D-Schokolade Nuss;0,100;NaN;NaN;denner;
!;N/A;1;Gurken 1Stk, 1.40;NaN;NaN;NaN;denner;
!;N/A;2;Forellenfilets geräuehert 2.95;NaN;NaN;NaN;denner;
!;N/A;3;Schweins-Voressen;0,150;NaN;NaN;denner;
