status;date;product name;size/volume;price;price per 1;shop;discount
!;N/A;Gurken ,;NaN;1.40;1.40;denner;
!;N/A;Forellenfilets geräuehert;NaN;2.95;2.95;denner;
;N/A;Schweins-Voressen  300g;1,000;7.50;7.50;denner;
