status;date;product name;size/volume;price;price per 1;shop;discount
!;04.09.2025;Gurken ,;NaN;1.40;1.40;denner;
!;04.09.2025;Forellenfilets geräuehert;NaN;2.95;2.95;denner;
;04.09.2025;Schweins-Voressen  300g;1,000;7.50;7.50;denner;
