status;date;order number;product name;size/volume;price;price per 1;shop;discount
;22.08.2025;N/A;Denner Kaisergemüse;0,750;3.45;4.60;denner;
;22.08.2025;N/A;Denner Norweg Portionen;0,250;5.90;23.60;denner;
!;22.08.2025;N/A;D-Vollmilch Past IL;NaN;1.40;1.40;denner;
;22.08.2025;N/A;Denner Gouda in Scheibe;0,250;2.30;9.20;denner;
;22.08.2025;N/A;D-Joghurt Vanilie;0,580;1.40;2.41;denner;
