status;date;product name;size/volume;price;price per 1;shop;discount
;22.08.2025;Denner Kaisergemüse;750g;3.45;4.60;denner;
;22.08.2025;Denner Norweg Portionen;250g;5.90;23.60;denner;
!;22.08.2025;D-Vollmilch Past IL;N/A;1.40;1.40;denner;
;22.08.2025;Denner Gouda in Scheibe;250g;2.30;9.20;denner;
;22.08.2025;D-Joghurt Vanilie 290g;2 pcs;1.40;0.70;denner;
